Title,Artist,Album
Tareefan,"QARAN, Badshah",Veere Di Wedding (Original Motion Picture Soundtrack)
Haseeno Ka Deewana,"Raftaar, Payal Dev",Kaabil
Hua Main,"Raghav Chaitanya, Manoj Muntashir, Pritam",ANIMAL
Aas Paas Khuda,Rahat Fateh Ali Khan,Anjaana Anjaani
Dil To Bachcha Hai,Rahat Fateh Ali Khan,Ishqiya
Jag Soona Soona Lage,"Rahat Fateh Ali Khan, Richa Sharma",Om Shanti Om
Teri Meri,"Rahat Fateh Ali Khan, Shreya Ghoshal",Bodyguard
Soniyo,"Raju Singh, Sonu Nigam, Shreya Ghoshal",RAAZ - The Mystery Continues (Original Motion Picture Soundtrack)
"Sajni (From ""Laapataa Ladies"")","Ram Sampath, Arijit Singh, Prashant Pandey","Sajni (From ""Laapataa Ladies"")"
Kholo Kholo,Raman Mahadevan,Taare Zameen Par
Kabhi Kabhi Aditi,Rashid Ali,Jaane Tu... Ya Jaane Na
Mitti Di Khushboo,"Rochak Kohli, Ayushmann Khurrana",Mitti Di Khushboo
Paniyon Sa,"Rochak Kohli, Atif Aslam, Tulsi Kumar","Paniyon Sa (From ""Satyameva Jayate"")"
Saadi Galli Aaja,"Rochak Kohli, Ayushmann Khurrana, Neeti Mohan",Nautanki Saala !
Bekhayali,Sachet Tandon,Kabir Singh
Humraah,Sachet Tandon,Malang - Unleash The Madness
"Don't Be Shy Again (From ""Bala"")","Sachin-Jigar, Badshah, Shalmali Kholgade, Gurdeep Mehndi","Don't Be Shy Again (From ""Bala"")"
Saibo,"Sachin-Jigar, Shreya Ghoshal, Tochi Raina",Shor in the City (Original Motion Picture Soundtrack)
"Chhaila (From ""Bhoomi 2024"")","Salim–Sulaiman, Shreya Ghoshal, Sunidhi Chauhan","Chhaila (From ""Bhoomi 2024"")"
Shukran Allah,"Salim–Sulaiman, Sonu Nigam, Shreya Ghoshal, Salim Merchant",Kurbaan (Original Motion Picture Soundtrack)
Hangover,"Salman Khan, Meet Bros Anjjan, Shreya Ghoshal",Kick
Main Hoon Hero Tera (Salman Khan Version),Salman Khan,Hero
Dastaan - E - Om Shanti Om,Shaan,Om Shanti Om
Deewangi Deewangi,"Shaan, Udit Narayan, Shreya Ghoshal, Sunidhi Chauhan, Rahul Saxena",Om Shanti Om
Do U Know,"Shaan, Shreya Ghoshal",Housefull 2
Dus Bahane,"Shaan, KK",Dus
Woh Ladki Hai Kahan,"Shaan, Kavita Krishnamurthy",Dil Chahta Hai
Maahi,"Shaarib Toshi, Toshi Sabri",RAAZ - The Mystery Continues (Original Motion Picture Soundtrack)
Allah Waariyan,Shafqat Amanat Ali,Yaariyan
Maa,Shankar Mahadevan,Taare Zameen Par
Taare Zameen Par,"Shankar Mahadevan, Dominique, Vivieanne Pocha",Taare Zameen Par
Tere Naina,"Shankar Mahadevan, Shreya Ghoshal",Chandni Chowk To China
Uff Teri Adaa,"Shankar Mahadevan, Alyssa Mendonsa",Karthik Calling Karthik
Bol Na Halke Halke,"Shankar-Ehsaan-Loy, Rahat Fateh Ali Khan, Mahalakshmi Iyer, Gulzar",Jhoom Barabar Jhoom
Heartbeat - Instrumental,Shankar-Ehsaan-Loy,Kal Ho Naa Ho (Original Motion Picture Soundtrack)
It's the Time to Disco,"Shankar-Ehsaan-Loy, Vasundhara Das, KK, Shaan, Loy Mendonsa",Kal Ho Naa Ho (Original Motion Picture Soundtrack)
Jhoom Barabar Jhoom,"Shankar-Ehsaan-Loy, KK, Sukhwinder Singh, Mahalakshmi Iyer, Shankar Mahadevan, Gulzar",Jhoom Barabar Jhoom
